"participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur"
63,NA,"Woman",NA,"6","Backward","Yes",119,80,"3","3",1.21059268600252,0.210592686002521,66.0833333333334,"cst","3","2","3","1","1","4","numeric","dur",NA,116
64,NA,"Woman",NA,"2","Forward","Yes",120,80,"4",NA,0.99481865284974,-0.00518134715025948,80.4166666666667,"cst","3","1","1","3","1","2","numeric","dur",NA,116
65,NA,"Man",NA,"2","Forward","Yes",116,75,"3","3",0.901081297557069,-0.0989187024429312,83.2333333333333,"cst","3","3","1","3","1","2","numeric","dur",NA,116
66,NA,"Woman",NA,"6","Backward","No",120,70,"2","1",0.794251134644477,-0.205748865355523,88.1333333333334,"cst","4","2","3","2","1","1","numeric","dur",NA,116
67,NA,"Woman",NA,"1","Forward","No",124,15,"2","2",1.90677966101696,0.906779661016961,7.86666666666662,"acc","3","2","1","4","1","5","numeric","dur",NA,124
69,NA,"Man",NA,"4","Forward","Yes",115,80,"3","2",1.0505581089954,0.0505581089954037,76.15,"cst","4","2","1","3","1","1","numeric","dur",NA,124
70,NA,"Woman",NA,"3","Forward","Yes",120,90,"3","2",1.03826187271679,0.0382618727167857,86.6833333333333,"cst","4","2","1","4","1","5","numeric","dur",NA,124
71,NA,"Woman",NA,"4","Backward","Yes",116,71,"3","3",1.00070472163495,0.000704721634954153,70.95,"cst","4","1","1","3","1","4","numeric","dur",NA,116
72,NA,"Woman",NA,"1","Forward","No",180,10,"2","2",1.66204986149587,0.662049861495866,6.01666666666659,"acc","3","2","1","3","1","2","numeric","dur",NA,116
73,NA,"Woman",NA,"2","Forward","Yes",118,15,"3","2",1.24481327800831,0.244813278008309,12.0499999999999,"acc","3","3","1","3","3","2","numeric","dur",NA,116
